iter	Passed	Remaining
307	1015	2281
308	1017	2276
309	1020	2271
310	1023	2266
311	1027	2265
312	1029	2259
313	1032	2254
314	1034	2249
315	1038	2248
316	1041	2244
317	1043	2238
318	1046	2233
319	1048	2228
320	1051	2223
321	1053	2218
322	1057	2216
323	1060	2213
324	1063	2208
325	1065	2203
326	1068	2198
327	1071	2196
328	1074	2192
329	1077	2187
330	1080	2183
331	1082	2178
332	1086	2176
333	1089	2171
334	1091	2167
335	1094	2162
336	1097	2158
337	1099	2154
338	1102	2149
339	1105	2145
340	1107	2140
341	1110	2136
342	1112	2131
343	1115	2126
344	1118	2122
345	1120	2118
346	1124	2116
347	1127	2112
348	1130	2107
349	1135	2109
350	1138	2105
351	1141	2100
352	1143	2096
353	1147	2093
354	1149	2088
355	1152	2084
356	1154	2080
357	1158	2076
358	1160	2072
359	1163	2068
360	1166	2064
361	1168	2060
362	1171	2055
363	1174	2051
364	1176	2047
365	1179	2043
366	1182	2038
367	1184	2034
368	1188	2032
369	1191	2028
370	1193	2023
371	1196	2019
372	1200	2017
373	1203	2013
374	1205	2009
375	1209	2006
376	1211	2002
377	1214	1997
378	1216	1993
379	1220	1991
380	1223	1987
381	1225	1982
382	1228	1978
383	1230	1974
384	1233	1970
385	1235	1965
386	1238	1962
387	1241	1958
388	1243	1953
389	1246	1949
390	1249	1946
391	1252	1943
392	1255	1938
393	1257	1934
394	1260	1930
395	1264	1928
396	1267	1925
397	1270	1921
398	1273	1917
399	1275	1913
400	1279	1911
401	1282	1908
402	1285	1904
403	1287	1899
404	1290	1895
405	1292	1891
406	1295	1887
407	1298	1883
408	1300	1879
409	1302	1874
410	1305	1871
411	1308	1867
412	1311	1863
413	1313	1859
414	1316	1855
415	1318	1851
416	1321	1847
417	1323	1843
418	1326	1839
419	1329	1836
420	1333	1833
421	1336	1829
422	1338	1826
423	1342	1823
424	1345	1820
425	1348	1816
426	1350	1812
427	1353	1809
428	1356	1805
429	1359	1802
430	1362	1798
431	1364	1794
432	1368	1792
433	1371	1788
434	1373	1784
435	1376	1780
436	1378	1776
437	1381	1772
438	1383	1768
439	1386	1764
440	1388	1760
441	1391	1756
442	1394	1753
443	1396	1749
444	1399	1745
445	1401	1741
446	1406	1739
447	1409	1736
448	1411	1732
449	1414	1728
450	1417	1725
451	1420	1721
452	1422	1717
453	1426	1715
454	1429	1711
455	1432	1708
456	1434	1704
457	1437	1701
458	1440	1697
459	1442	1693
460	1445	1689
461	1447	1685
462	1449	1681
463	1452	1677
464	1454	1673
465	1457	1670
466	1460	1666
467	1462	1662
468	1465	1658
469	1467	1655
470	1471	1653
471	1475	1650
472	1478	1647
473	1480	1643
474	1483	1639
475	1486	1636
476	1489	1632
477	1491	1628
478	1494	1625
479	1496	1621
480	1499	1617
481	1501	1613
482	1505	1610
483	1507	1607
484	1510	1603
485	1512	1599
486	1516	1597
487	1519	1593
488	1522	1590
489	1524	1586
490	1527	1583
491	1529	1579
492	1531	1575
493	1534	1571
494	1537	1568
495	1539	1564
496	1542	1560
497	1544	1557
498	1547	1553
499	1551	1551
500	1553	1547
501	1555	1543
502	1558	1539
503	1560	1535
504	1563	1532
505	1566	1529
506	1569	1526
507	1574	1524
508	1577	1521
509	1579	1517
510	1582	1514
511	1585	1511
512	1588	1507
513	1590	1504
514	1593	1500
515	1596	1497
516	1598	1493
517	1601	1490
518	1603	1486
519	1606	1482
520	1608	1479
521	1612	1476
522	1615	1473
523	1617	1469
524	1620	1465
525	1623	1462
526	1625	1458
527	1627	1455
528	1630	1451
529	1634	1449
530	1636	1445
531	1639	1442
532	1642	1438
533	1644	1435
534	1647	1431
535	1649	1428
536	1651	1424
537	1654	1420
538	1656	1417
539	1659	1413
540	1661	1409
541	1664	1406
542	1666	1402
543	1669	1399
544	1671	1395
545	1674	1392
546	1677	1389
547	1680	1385
548	1683	1382
549	1685	1379
550	1688	1375
551	1690	1372
552	1694	1369
553	1697	1366
554	1699	1362
555	1702	1359
556	1704	1355
557	1707	1352
558	1710	1349
559	1713	1346
560	1715	1342
561	1718	1339
562	1720	1335
563	1723	1332
564	1725	1328
565	1728	1325
566	1730	1321
567	1733	1318
568	1735	1314
569	1738	1311
570	1740	1307
571	1743	1304
572	1746	1301
573	1748	1297
574	1751	1294
575	1753	1290
576	1756	1287
577	1759	1284
578	1762	1281
579	1764	1277
580	1766	1274
581	1769	1271
582	1772	1267
583	1774	1264
584	1777	1260
585	1780	1257
586	1782	1254
587	1784	1250
588	1787	1247
589	1789	1243
590	1792	1240
591	1794	1236
592	1797	1233
593	1799	1229
594	1801	1226
595	1804	1223
596	1807	1219
597	1810	1217
598	1812	1213
599	1815	1210
600	1817	1206
601	1822	1204
602	1824	1201
603	1827	1198
604	1830	1195
605	1832	1191
606	1835	1188
607	1838	1185
608	1842	1182
609	1844	1179
610	1847	1176
611	1849	1172
612	1852	1169
613	1854	1166
614	1857	1162
615	1859	1159
616	1862	1156
617	1865	1152
618	1867	1149
619	1870	1146
620	1873	1143
621	1875	1139
622	1878	1136
623	1880	1133
624	1883	1130
625	1886	1126
626	1889	1124
627	1891	1120
628	1894	1117
629	1896	1113
630	1899	1111
631	1902	1108
632	1905	1104
633	1907	1101
634	1910	1097
635	1912	1094
636	1915	1091
637	1917	1088
638	1920	1085
639	1923	1081
640	1925	1078
641	1928	1075
642	1931	1072
643	1935	1069
644	1938	1066
645	1940	1063
646	1943	1060
647	1945	1056
648	1948	1053
649	1951	1050
650	1954	1047
651	1956	1044
652	1959	1041
653	1963	1038
654	1966	1035
655	1970	1033
656	1973	1030
657	1976	1027
658	1983	1026
659	1985	1022
660	1988	1019
661	1991	1016
662	1993	1013
663	1995	1009
664	1998	1006
665	2000	1003
666	2003	1000
667	2005	996
668	2007	993
669	2010	990
670	2013	987
671	2016	984
672	2018	980
673	2021	977
674	2023	974
675	2027	971
676	2030	968
677	2032	965
678	2035	962
679	2038	959
680	2040	955
681	2043	952
682	2046	949
683	2049	946
684	2051	943
685	2053	940
686	2056	936
687	2058	933
688	2061	930
689	2063	927
690	2066	924
691	2068	920
692	2071	917
693	2073	914
694	2076	911
695	2079	908
696	2081	905
697	2084	901
698	2086	898
699	2090	895
700	2093	892
701	2096	889
702	2098	886
703	2101	883
704	2104	880
705	2108	877
706	2111	874
707	2113	871
708	2116	868
709	2119	865
710	2122	862
711	2125	859
712	2128	856
713	2131	853
714	2133	850
715	2135	847
716	2138	844
717	2141	841
718	2143	837
719	2146	834
720	2148	831
721	2151	828
722	2153	825
723	2157	822
724	2159	819
725	2162	816
726	2164	812
727	2168	810
728	2170	806
729	2173	803
730	2175	800
731	2178	797
732	2180	794
733	2183	791
734	2185	788
735	2189	785
736	2191	782
737	2194	778
738	2196	775
739	2199	772
740	2202	769
741	2205	766
742	2207	763
743	2210	760
744	2212	757
745	2215	754
746	2218	751
747	2221	748
748	2223	745
749	2227	742
750	2230	739
751	2232	736
752	2235	733
753	2237	730
754	2240	727
755	2243	723
756	2245	720
757	2248	717
758	2250	714
759	2254	711
760	2256	708
761	2259	705
762	2262	702
763	2265	699
764	2269	697
765	2272	694
766	2276	691
767	2279	688
768	2282	685
769	2285	682
770	2288	679
771	2291	676
772	2294	673
773	2296	670
774	2300	667
775	2303	664
776	2306	661
777	2308	658
778	2311	655
779	2314	652
780	2318	650
781	2321	647
782	2324	644
783	2328	641
784	2331	638
785	2335	635
786	2337	632
787	2340	629
788	2342	626
789	2348	624
790	2351	621
791	2353	618
792	2356	615
793	2359	612
794	2362	609
795	2365	606
796	2368	603
797	2371	600
798	2373	597
799	2377	594
800	2380	591
801	2383	588
802	2386	585
803	2388	582
804	2391	579
805	2395	576
806	2397	573
807	2400	570
808	2403	567
809	2407	564
810	2409	561
811	2412	558
812	2415	555
813	2417	552
814	2420	549
815	2423	546
816	2426	543
817	2430	540
818	2433	537
819	2435	534
820	2439	531
821	2442	528
822	2445	525
823	2448	522
824	2450	519
825	2454	517
826	2457	514
827	2459	510
828	2462	507
829	2466	505
830	2468	502
831	2471	499
832	2474	496
833	2476	493
834	2479	490
835	2482	486
836	2485	483
837	2487	480
838	2490	478
839	2494	475
840	2497	472
841	2499	469
842	2502	466
843	2505	463
844	2508	460
845	2510	457
846	2514	454
847	2517	451
848	2519	448
849	2522	445
850	2527	442
851	2530	439
852	2532	436
853	2535	433
854	2538	430
855	2540	427
856	2543	424
857	2546	421
858	2548	418
859	2550	415
860	2553	412
861	2557	409
862	2559	406
863	2561	403
864	2564	400
865	2567	397
866	2570	394
867	2574	391
868	2576	388
869	2579	385
870	2581	382
871	2585	379
872	2588	376
873	2591	373
874	2593	370
875	2596	367
876	2598	364
877	2601	361
878	2605	358
879	2608	355
880	2610	352
881	2613	349
882	2617	346
883	2619	343
884	2622	340
885	2624	337
886	2627	334
887	2629	331
888	2633	328
889	2636	325
890	2638	322
891	2641	319
892	2644	316
893	2647	313
894	2649	310
895	2652	307
896	2655	304
897	2657	301
898	2660	298
899	2663	295
900	2665	292
901	2668	289
902	2671	286
903	2673	283
904	2676	280
905	2679	278
906	2682	275
907	2685	272
908	2687	269
909	2690	266
910	2694	263
911	2697	260
912	2700	257
913	2702	254
914	2707	251
915	2709	248
916	2712	245
917	2715	242
918	2717	239
919	2719	236
920	2722	233
921	2725	230
922	2728	227
923	2731	224
924	2734	221
925	2736	218
926	2739	215
927	2742	212
928	2746	209
929	2748	206
930	2751	203
931	2754	200
932	2756	197
933	2759	194
934	2762	192
935	2766	189
936	2769	186
937	2771	183
938	2774	180
939	2776	177
940	2779	174
941	2781	171
942	2784	168
943	2786	165
944	2789	162
945	2792	159
946	2795	156
947	2798	153
948	2800	150
949	2803	147
950	2806	144
951	2809	141
952	2812	138
953	2815	135
954	2818	132
955	2820	129
956	2823	126
957	2827	123
958	2829	120
959	2832	118
960	2834	115
961	2837	112
962	2839	109
963	2843	106
964	2846	103
965	2849	100
966	2851	97
967	2855	94
968	2858	91
969	2861	88
970	2864	85
971	2866	82
972	2869	79
973	2873	76
974	2875	73
975	2878	70
976	2881	67
977	2885	64
978	2888	61
979	2891	59
980	2894	56
981	2897	53
982	2899	50
983	2902	47
984	2905	44
985	2908	41
986	2911	38
987	2913	35
988	2916	32
989	2919	29
990	2922	26
991	2925	23
992	2927	20
993	2930	17
994	2934	14
995	2936	11
996	2939	8
997	2941	5
998	2945	2
999	2948	0
