iter	Logloss
0	0.6879025751
1	0.6827194141
2	0.6773405365
3	0.6722366133
4	0.6670385093
5	0.6615592044
6	0.6566024645
7	0.6513296114
8	0.6470468673
9	0.6427080084
10	0.6381310501
11	0.635740881
12	0.6331723239
13	0.6310147549
14	0.626919897
15	0.6245116221
16	0.621599874
17	0.6176699254
18	0.6135958173
19	0.6095488093
20	0.605414308
21	0.6026774695
22	0.6001208797
23	0.5980639264
24	0.5961957022
25	0.5922654126
26	0.5889613451
27	0.5852065448
28	0.5815229654
29	0.5782353767
30	0.574891491
31	0.5714678203
32	0.5703148754
33	0.5679694697
34	0.5650328237
35	0.5622943783
36	0.559353658
37	0.5568460625
38	0.5539211103
39	0.5506613643
40	0.5475764884
41	0.5457124408
42	0.5427604348
43	0.5401458509
44	0.5373598549
45	0.5347810052
46	0.532390178
47	0.5295993688
48	0.5269827627
49	0.5251234644
50	0.5232403961
51	0.5218382669
52	0.5196550013
53	0.5171769682
54	0.5147388234
55	0.5127953788
56	0.5115672997
57	0.5102145998
58	0.50810849
59	0.5066028319
60	0.5045156474
61	0.5024055325
62	0.5011554471
63	0.4993115067
64	0.497551074
65	0.4956142618
66	0.4944540317
67	0.4939419404
68	0.4926116522
69	0.4905493997
70	0.4895875125
71	0.487851974
72	0.4868721745
73	0.4857476616
74	0.4842820934
75	0.4838872097
76	0.4818871668
77	0.4802504803
78	0.4787297694
79	0.4775541874
80	0.4759908378
81	0.4746119501
82	0.4730680796
83	0.4719910462
84	0.471053247
85	0.4696069291
86	0.4687453458
87	0.4679068811
88	0.4663777311
89	0.4648700132
90	0.4639699133
91	0.4629093406
92	0.4620521316
93	0.4603869932
94	0.4592813467
95	0.4579893692
96	0.4566550405
97	0.4560119948
98	0.4550140461
99	0.4538805136
100	0.4533247452
101	0.4523981949
102	0.4515020688
103	0.4509080154
104	0.4498590386
105	0.4485927373
106	0.44697093
107	0.4460420808
108	0.4453875288
109	0.4443480347
110	0.4429277994
111	0.4421993036
112	0.4413969555
113	0.4403146962
114	0.4390899086
115	0.4384189424
116	0.4375028367
117	0.4362637706
118	0.4353124752
119	0.434140552
120	0.4332981604
121	0.4325414421
122	0.4317688758
123	0.4312901631
124	0.4304177375
125	0.4296793102
126	0.4285120916
127	0.4275025115
128	0.4265855767
129	0.4259867118
130	0.42501696
131	0.4246213009
132	0.4241177325
133	0.4232477186
134	0.4224386765
135	0.4215884029
136	0.420609698
137	0.4200579306
138	0.4194923031
139	0.4189254586
140	0.4182405409
141	0.4175124684
142	0.4166258036
143	0.4161243536
144	0.4156214062
145	0.4151027979
146	0.4141280582
147	0.4136024696
148	0.4130204325
149	0.4124075514
150	0.4115707678
151	0.410934805
152	0.4104002926
153	0.4097038156
154	0.4091029076
155	0.4083704307
156	0.4077257799
157	0.4069847537
158	0.4061771944
159	0.4054570143
160	0.4046288185
161	0.4037871853
162	0.4032179699
163	0.402551236
164	0.4018415831
165	0.40125481
166	0.4008490295
167	0.4002024752
168	0.3995409274
169	0.3990021255
170	0.3985479479
171	0.3976309245
172	0.3970057904
173	0.3962030497
174	0.3958342633
175	0.3952617225
176	0.3942626591
177	0.3936528076
178	0.3929098958
179	0.392212025
180	0.3917354719
181	0.3913470369
182	0.3905506567
183	0.3897244399
184	0.3890870287
185	0.3883403912
186	0.3879706424
187	0.3873529807
188	0.387005576
189	0.3864846951
190	0.3858648491
191	0.3854416731
192	0.3851498903
193	0.3848517625
194	0.3843453634
195	0.3838431165
196	0.383464696
197	0.3829918307
198	0.3824756705
199	0.3819025608
200	0.3811813447
201	0.3806327646
202	0.3801142393
203	0.3795124569
204	0.3788469246
205	0.378308203
206	0.3778397628
207	0.3775268504
208	0.3769628932
209	0.3762860457
210	0.3756945188
211	0.3751051729
212	0.3745159641
213	0.374219378
214	0.3737909193
215	0.3733136298
216	0.3729776402
217	0.3721415624
218	0.3717738647
219	0.3712441922
220	0.3707487043
221	0.3701552812
222	0.3696279396
223	0.3690590566
224	0.3687063794
225	0.3682927713
226	0.3676479605
227	0.3669992446
228	0.3668410658
229	0.3663198143
230	0.3660003357
231	0.3654977123
232	0.3651979166
233	0.364646857
234	0.3640097467
235	0.363649567
236	0.3633581123
237	0.3629260986
238	0.3621865265
239	0.361730268
240	0.3612875748
241	0.3608836226
242	0.360269289
243	0.3596554724
244	0.3590110953
245	0.3585311797
246	0.3581149655
247	0.3575739042
248	0.3569090465
249	0.3566317308
250	0.3562517132
251	0.3558171621
252	0.3555922249
253	0.355225031
254	0.3548795116
255	0.3543944675
256	0.3539106772
257	0.3534583435
258	0.3530583753
259	0.3526923742
260	0.352196415
261	0.3516768833
